id,name,team,position,college,image_url,tier,created_at,rating,last_selected,sport,added_to_db,game_mode,is_image_verified
3299,Chris Richard,Retired,F,Florida,,3,2026-02-15 02:54:30.521142+00,0,,football,2026-02-15 02:54:30.521142+00,survival,false
3298,Taurean Green,Retired,G,Florida,,3,2026-02-15 02:54:30.285967+00,0,,football,2026-02-15 02:54:30.285967+00,survival,false
3297,Lee Humphrey,Retired,G,Florida,,3,2026-02-15 02:54:30.066973+00,0,,football,2026-02-15 02:54:30.066973+00,survival,false
3296,Mike Gansey,Retired,G,West Virginia,,3,2026-02-15 02:54:29.86285+00,0,,football,2026-02-15 02:54:29.86285+00,survival,false
3295,Kevin Pittsnogle,Retired,F,West Virginia,,3,2026-02-15 02:54:29.614857+00,0,,football,2026-02-15 02:54:29.614857+00,survival,false
3294,Aaron Miles,Houston Rockets (Coach),G,Kansas,,3,2026-02-15 02:54:18.418356+00,0,,football,2026-02-15 02:54:18.418356+00,survival,false
3293,Keith Langford,Retired,G,Kansas,,2,2026-02-15 02:54:18.224095+00,0,,football,2026-02-15 02:54:18.224095+00,survival,false
3292,Wayne Simien,Retired,F,Kansas,,2,2026-02-15 02:54:18.005593+00,0,,football,2026-02-15 02:54:18.005593+00,survival,false
3291,Tylerado Hansbrough,Retired,F,North Carolina,,1,2026-02-15 02:54:17.807253+00,0,,football,2026-02-15 02:54:17.807253+00,survival,false
3290,Chris Lofton,Retired,G,Tennessee,,2,2026-02-15 02:54:17.60946+00,0,,football,2026-02-15 02:54:17.60946+00,survival,false
3289,Hassan Adams,Retired,G,Arizona,,3,2026-02-15 02:54:17.414593+00,0,,football,2026-02-15 02:54:17.414593+00,survival,false
3288,Salim Stoudamire,Retired,G,Arizona,,2,2026-02-15 02:54:17.222111+00,0,,football,2026-02-15 02:54:17.222111+00,survival,false
3287,JamesAugustine,Retired,F,Illinois,,3,2026-02-15 02:54:17.03652+00,0,,football,2026-02-15 02:54:17.03652+00,survival,false
3286,Roger Powell,Valparaiso (Coach),F,Illinois,,3,2026-02-15 02:54:16.843331+00,0,,football,2026-02-15 02:54:16.843331+00,survival,false
3285,Luther Head,Retired,G,Illinois,,2,2026-02-15 02:54:16.65253+00,0,,football,2026-02-15 02:54:16.65253+00,survival,false
3284,Dee Brown,Roosevelt (Coach),G,Illinois,,2,2026-02-15 02:54:16.453336+00,0,,football,2026-02-15 02:54:16.453336+00,survival,false
3283,Mike Wilkinson,Retired,F,Wisconsin,,3,2026-02-15 02:54:16.248362+00,0,,football,2026-02-15 02:54:16.248362+00,survival,false
3282,Alando Tucker,Retired,F,Wisconsin,,2,2026-02-15 02:54:16.03644+00,0,,football,2026-02-15 02:54:16.03644+00,survival,false
3281,Joseph Jones,Tarleton State (Coach),C,Texas A&M,,3,2026-02-15 02:54:15.775616+00,0,,football,2026-02-15 02:54:15.775616+00,survival,false
3280,Acie Law,Retired,G,Texas A&M,,2,2026-02-15 02:54:15.515312+00,0,,football,2026-02-15 02:54:15.515312+00,survival,false
3279,Sean May,North Carolina (Coach),F,North Carolina,,2,2026-02-15 02:54:15.209476+00,0,,football,2026-02-15 02:54:15.209476+00,survival,false
3278,Rashad McCants,Retired,G,North Carolina,,2,2026-02-15 02:54:15.012856+00,0,,football,2026-02-15 02:54:15.012856+00,survival,false
3277,Taylor Coppenrath,Retired,F,Vermont,,3,2026-02-15 02:54:14.58125+00,0,,football,2026-02-15 02:54:14.58125+00,survival,false
3276,T.J. Sorrentine,Brown (Coach),G,Vermont,,3,2026-02-15 02:54:14.401273+00,0,,football,2026-02-15 02:54:14.401273+00,survival,false
3275,Lonny Baxter,Retired,F,Maryland,,3,2026-02-15 02:54:14.208209+00,0,,football,2026-02-15 02:54:14.208209+00,survival,false
3274,Steve Blake,Retired,G,Maryland,,2,2026-02-15 02:54:13.996042+00,0,,football,2026-02-15 02:54:13.996042+00,survival,false
3273,Juan Dixon,Coppin State (Coach),G,Maryland,,2,2026-02-15 02:54:13.745052+00,0,,football,2026-02-15 02:54:13.745052+00,survival,false
3272,Adreian Payne,Deceased,C,Michigan State,,2,2026-02-15 02:54:02.651099+00,0,,football,2026-02-15 02:54:02.651099+00,survival,false
3271,Deshaun Thomas,Milano,F,Ohio State,,3,2026-02-15 02:54:02.326373+00,0,,football,2026-02-15 02:54:02.326373+00,survival,false
3270,Aaron Craft,Retired,G,Ohio State,,2,2026-02-15 02:54:02.082842+00,0,,football,2026-02-15 02:54:02.082842+00,survival,false
3269,Mitch McGary,Retired,F,Michigan,,3,2026-02-15 02:54:01.88513+00,0,,football,2026-02-15 02:54:01.88513+00,survival,false
3268,Nik Stauskas,Retired,G,Michigan,,3,2026-02-15 02:54:01.647641+00,0,,football,2026-02-15 02:54:01.647641+00,survival,false
3267,Montrezl Harrell,Adelaide 36ers,F,Louisville,,2,2026-02-15 02:54:01.375894+00,0,,football,2026-02-15 02:54:01.375894+00,survival,false
3266,Gorgui Dieng,San Antonio Spurs,C,Louisville,,2,2026-02-15 02:54:01.130986+00,0,,football,2026-02-15 02:54:01.130986+00,survival,false
3265,Peyton Siva,Retired,G,Louisville,,3,2026-02-15 02:54:00.938764+00,0,,football,2026-02-15 02:54:00.938764+00,survival,false
3264,Russ Smith,G League,G,Louisville,,2,2026-02-15 02:54:00.74524+00,0,,football,2026-02-15 02:54:00.74524+00,survival,false
3263,Ryan Boatright,Retired,G,UConn,,3,2026-02-15 02:54:00.508374+00,0,,football,2026-02-15 02:54:00.508374+00,survival,false
3262,Bronson Koenig,Retired,G,Wisconsin,,3,2026-02-15 02:54:00.22693+00,0,,football,2026-02-15 02:54:00.22693+00,survival,false
3261,Nigel Hayes,Fenerbahce,F,Wisconsin,,3,2026-02-15 02:53:59.976021+00,0,,football,2026-02-15 02:53:59.976021+00,survival,false
3260,Sam Dekker,London Lions,F,Wisconsin,,2,2026-02-15 02:53:59.78461+00,0,,football,2026-02-15 02:53:59.78461+00,survival,false
3259,Frank Kaminsky,Partizan,C,Wisconsin,,2,2026-02-15 02:53:59.532847+00,0,,football,2026-02-15 02:53:59.532847+00,survival,false
3258,Josh Hart,New York Knicks,G,Villanova,,2,2026-02-15 02:53:59.359951+00,0,,football,2026-02-15 02:53:59.359951+00,survival,false
3257,De'Andre Hunter,Atlanta Hawks,F,Virginia,,2,2026-02-15 02:53:58.837517+00,0,,football,2026-02-15 02:53:58.837517+00,survival,false
3256,Ty Jerome,Cleveland Cavaliers,G,Virginia,,3,2026-02-15 02:53:58.647578+00,0,,football,2026-02-15 02:53:58.647578+00,survival,false
3255,Kyle Guy,Tenerife,G,Virginia,,2,2026-02-15 02:53:58.387158+00,0,,football,2026-02-15 02:53:58.387158+00,survival,false
3254,Ryan Arcidiacono,G League,G,Villanova,,2,2026-02-15 02:53:57.422219+00,0,,football,2026-02-15 02:53:57.422219+00,survival,false
3253,Raymond Felton,Retired,G,North Carolina,,2,2026-02-15 02:53:46.09594+00,0,,football,2026-02-15 02:53:46.09594+00,survival,false
3252,Gerry McNamara,Retired,G,Syracuse,,3,2026-02-15 02:53:45.758891+00,0,,football,2026-02-15 02:53:45.758891+00,survival,false
3251,Hakim Warrick,Retired,F,Syracuse,,3,2026-02-15 02:53:45.372196+00,0,,football,2026-02-15 02:53:45.372196+00,survival,false
3250,Ike Diogu,Retired,F,Arizona State,,3,2026-02-15 02:53:45.075138+00,0,,football,2026-02-15 02:53:45.075138+00,survival,false
3249,Channing Frye,Retired,C,Arizona,,2,2026-02-15 02:53:44.888552+00,0,,football,2026-02-15 02:53:44.888552+00,survival,false
3248,Luol Deng,Retired,F,Duke,,2,2026-02-15 02:53:44.504252+00,0,,football,2026-02-15 02:53:44.504252+00,survival,false
3247,Delonte West,Retired,G,Saint Joseph's,,3,2026-02-15 02:53:44.057592+00,0,,football,2026-02-15 02:53:44.057592+00,survival,false
3246,Jameer Nelson,Retired,G,Saint Joseph's,,2,2026-02-15 02:53:43.86604+00,0,,football,2026-02-15 02:53:43.86604+00,survival,false
3245,David West,Retired,F,Xavier,,2,2026-02-15 02:53:43.685419+00,0,,football,2026-02-15 02:53:43.685419+00,survival,false
3244,T.J. Ford,Retired,G,Texas,,2,2026-02-15 02:53:43.507823+00,0,,football,2026-02-15 02:53:43.507823+00,survival,false
3243,Mike Dunleavy Jr.,Retired,F,Duke,,2,2026-02-15 02:53:43.11403+00,0,,football,2026-02-15 02:53:43.11403+00,survival,false
3242,Carlos Boozer,Retired,F,Duke,,2,2026-02-15 02:53:42.904601+00,0,,football,2026-02-15 02:53:42.904601+00,survival,false
3241,Jay Williams,Retired,G,Duke,,1,2026-02-15 02:53:42.470444+00,0,,football,2026-02-15 02:53:42.470444+00,survival,false
3240,Nick Collison,Retired,F,Kansas,,2,2026-02-15 02:53:42.040437+00,0,,football,2026-02-15 02:53:42.040437+00,survival,false
3239,Kirk Hinrich,Retired,G,Kansas,,2,2026-02-15 02:53:41.836999+00,0,,football,2026-02-15 02:53:41.836999+00,survival,false
3238,Ben Gordon,Retired,G,UConn,,2,2026-02-15 02:53:41.377996+00,0,,football,2026-02-15 02:53:41.377996+00,survival,false
3237,Emeka Okafor,Retired,C,UConn,,2,2026-02-15 02:53:41.176065+00,0,,football,2026-02-15 02:53:41.176065+00,survival,false
3236,Isaiah Thomas,Free Agent,G,Washington,,2,2026-02-15 02:51:35.872709+00,0,,football,2026-02-15 02:51:35.872709+00,survival,false
3235,Otto Porter Jr.,Retired,F,Georgetown,,3,2026-02-15 02:51:35.631168+00,0,,football,2026-02-15 02:51:35.631168+00,survival,false
3234,Kelly Olynyk,Toronto Raptors,F,Gonzaga,,2,2026-02-15 02:51:35.419416+00,0,,football,2026-02-15 02:51:35.419416+00,survival,false
3233,Michael Kidd-Gilchrist,Retired,F,Kentucky,,3,2026-02-15 02:51:34.749038+00,0,,football,2026-02-15 02:51:34.749038+00,survival,false
3232,Cody Zeller,New Orleans Pelicans,C,Indiana,,3,2026-02-15 02:51:34.505894+00,0,,football,2026-02-15 02:51:34.505894+00,survival,false
3231,Jared Sullinger,Cangrejeros de Santurce,F,Ohio State,,3,2026-02-15 02:51:31.631935+00,0,,football,2026-02-15 02:51:31.631935+00,survival,false
3230,Shabazz Napier,Bayern Munich,G,UConn,,2,2026-02-15 02:51:31.40384+00,0,,football,2026-02-15 02:51:31.40384+00,survival,false
3229,Trey Burke,G League,G,Michigan,,3,2026-02-15 02:51:30.805574+00,0,,football,2026-02-15 02:51:30.805574+00,survival,false
3228,Doug McDermott,Indiana Pacers,F,Creighton,,2,2026-02-15 02:51:30.505134+00,0,,football,2026-02-15 02:51:30.505134+00,survival,false
3227,Jimmer Fredette,Shanghai Sharks,G,BYU,,2,2026-02-15 02:51:30.316784+00,0,,football,2026-02-15 02:51:30.316784+00,survival,false
3226,Ty Lawson,Retired,G,North Carolina,,2,2026-02-15 02:51:29.61458+00,0,,football,2026-02-15 02:51:29.61458+00,survival,false
3225,Hasheem Thabeet,Retired,C,UConn,,3,2026-02-15 02:51:29.435941+00,0,,football,2026-02-15 02:51:29.435941+00,survival,false
3224,Roy Hibbert,Retired,C,Georgetown,,2,2026-02-15 02:51:29.239491+00,0,,football,2026-02-15 02:51:29.239491+00,survival,false
3223,Jeff Green,Houston Rockets,F,Georgetown,,2,2026-02-15 02:51:28.98657+00,0,,football,2026-02-15 02:51:28.98657+00,survival,false
3222,Cam Reddish,Los Angeles Lakers,F,Duke,,2,2026-02-15 02:51:28.521836+00,0,,football,2026-02-15 02:51:28.521836+00,survival,false
3221,Brandon Clarke,Memphis Grizzlies,F,Gonzaga,,2,2026-02-15 02:51:28.244001+00,0,,football,2026-02-15 02:51:28.244001+00,survival,false
3220,Grant Williams,Charlotte Hornets,F,Tennessee,,2,2026-02-15 02:51:27.536771+00,0,,football,2026-02-15 02:51:27.536771+00,survival,false
3219,Carsen Edwards,Bayern Munich,G,Purdue,,3,2026-02-15 02:51:27.297498+00,0,,football,2026-02-15 02:51:27.297498+00,survival,false
3218,Greg Oden,Retired,C,Ohio State,,2,2026-02-15 02:51:27.295202+00,0,,football,2026-02-15 02:51:27.295202+00,survival,false
3217,Adam Morrison,Retired,F,Gonzaga,,3,2026-02-15 02:51:26.926475+00,0,,football,2026-02-15 02:51:26.926475+00,survival,false
3216,RJ Barrett,Toronto Raptors,G,Duke,,1,2026-02-15 02:51:26.768428+00,0,,football,2026-02-15 02:51:26.768428+00,survival,false
3215,Joakim Noah,Retired,C,Florida,,2,2026-02-15 02:51:26.287929+00,0,,football,2026-02-15 02:51:26.287929+00,survival,false
3214,Tyler Hansbrough,Retired,F,North Carolina,,2,2026-02-15 02:51:26.092109+00,0,,football,2026-02-15 02:51:26.092109+00,survival,false
3213,Mikal Bridges,New York Knicks,F,Villanova,,1,2026-02-15 02:51:25.947438+00,0,,football,2026-02-15 02:51:25.947438+00,survival,false
3212,Marvin Bagley III,Washington Wizards,F,Duke,,2,2026-02-15 02:51:25.679564+00,0,,football,2026-02-15 02:51:25.679564+00,survival,false
3211,Derrick Rose,Retired,G,Memphis,,1,2026-02-15 02:51:25.408451+00,0,,football,2026-02-15 02:51:25.408451+00,survival,false
3210,Malik Monk,Sacramento Kings,G,Kentucky,,1,2026-02-15 02:51:24.853175+00,0,,football,2026-02-15 02:51:24.853175+00,survival,false
3209,Josh Jackson,Free Agent,F,Kansas,,2,2026-02-15 02:51:24.541799+00,0,,football,2026-02-15 02:51:24.541799+00,survival,false
3208,De'Aaron Fox,Sacramento Kings,G,Kentucky,,1,2026-02-15 02:51:24.131803+00,0,,football,2026-02-15 02:51:24.131803+00,survival,false
3207,Lonzo Ball,Chicago Bulls,G,UCLA,,1,2026-02-15 02:51:23.486243+00,0,,football,2026-02-15 02:51:23.486243+00,survival,false
3206,Frank Mason III,Free Agent,G,Kansas,,3,2026-02-15 02:51:23.270273+00,0,,football,2026-02-15 02:51:23.270273+00,survival,false
3205,Kris Dunn,Los Angeles Clippers,G,Providence,,2,2026-02-15 02:51:22.291397+00,0,,football,2026-02-15 02:51:22.291397+00,survival,false
3204,Denzel Valentine,Free Agent,G,Michigan State,,2,2026-02-15 02:51:22.027569+00,0,,football,2026-02-15 02:51:22.027569+00,survival,false
3203,Buddy Hield,Golden State Warriors,G,Oklahoma,,1,2026-02-15 02:51:21.754666+00,0,,football,2026-02-15 02:51:21.754666+00,survival,false
3202,Ben Simmons,Brooklyn Nets,G,LSU,,1,2026-02-15 02:51:21.449922+00,0,,football,2026-02-15 02:51:21.449922+00,survival,false
3201,Dalton Knecht,Los Angeles Lakers,G,Tennessee,,2,2026-02-15 02:50:13.601753+00,0,,football,2026-02-15 02:50:13.601753+00,survival,false
3200,Jared Butler,Washington Wizards,G,Baylor,,3,2026-02-15 02:50:13.416018+00,0,,football,2026-02-15 02:50:13.416018+00,survival,false
3199,Corey Kispert,Washington Wizards,F,Gonzaga,,2,2026-02-15 02:50:13.215253+00,0,,football,2026-02-15 02:50:13.215253+00,survival,false
3198,Ochai Agbaji,Toronto Raptors,G,Kansas,,2,2026-02-15 02:50:11.447123+00,0,,football,2026-02-15 02:50:11.447123+00,survival,false
3197,Keegan Murray,Sacramento Kings,F,Iowa,,2,2026-02-15 02:50:10.803163+00,0,,football,2026-02-15 02:50:10.803163+00,survival,false
3196,Jalen Suggs,Orlando Magic,G,Gonzaga,,2,2026-02-15 02:50:09.857627+00,0,,football,2026-02-15 02:50:09.857627+00,survival,false
3195,Trayce Jackson-Davis,Golden State Warriors,F,Indiana,,2,2026-02-15 02:50:09.151377+00,0,,football,2026-02-15 02:50:09.151377+00,survival,false
3194,Luka Garza,Minnesota Timberwolves,C,Iowa,,2,2026-02-15 02:50:08.715789+00,0,,football,2026-02-15 02:50:08.715789+00,survival,false
3193,Oscar Tshiebwe,Utah Jazz,F,Kentucky,,2,2026-02-15 02:50:08.504046+00,0,,football,2026-02-15 02:50:08.504046+00,survival,false
3192,Zach Edey,Memphis Grizzlies,C,Purdue,,2,2026-02-15 02:50:08.189482+00,0,,football,2026-02-15 02:50:08.189482+00,survival,false
3154,Keenan Reynolds,Legend,QB,Navy,,3,2026-02-12 02:53:11.553554+00,75,,football,2026-02-12 02:53:11.483338+00,daily,false
3149,Andre Williams,Legend,RB,Boston College,,3,2026-02-12 02:53:07.144381+00,75,,football,2026-02-12 02:53:07.070868+00,daily,false
3140,Chris Perry,Legend,RB,Michigan,,3,2026-02-12 02:52:59.860045+00,75,,football,2026-02-12 02:52:59.785363+00,daily,false
3128,Joe Hamilton,Legend,QB,Georgia Tech,,3,2026-02-12 02:52:50.686187+00,75,,football,2026-02-12 02:52:50.603652+00,daily,false
3124,Michael Bishop,Legend,QB,Kansas State,,3,2026-02-12 02:52:47.909588+00,75,,football,2026-02-12 02:52:47.836761+00,daily,false
3119,Darnell Autry,Legend,RB,Northwestern,,3,2026-02-12 02:52:43.333702+00,75,,football,2026-02-12 02:52:43.20348+00,daily,false
3118,Jay Barker,Legend,QB,Alabama,,3,2026-02-12 02:52:42.467815+00,75,,football,2026-02-12 02:52:42.384674+00,daily,false
3095,David Palmer,Legend,WR,Alabama,,3,2026-02-12 02:43:52.215105+00,75,,football,2026-02-12 02:43:52.144947+00,daily,false
3093,Steve Emtman,Legend,DL,Washington,,2,2026-02-12 02:43:50.260308+00,92,,football,2026-02-12 02:43:50.18981+00,daily,false
3091,Napoleon Kaufman,Legend,RB,Washington,,2,2026-02-12 02:43:48.305486+00,88,,football,2026-02-12 02:43:48.230111+00,daily,false
3082,George Rogers,Legend,RB,South Carolina,,1,2026-02-12 02:43:39.19282+00,99,,football,2026-02-12 02:43:38.991246+00,daily,false
